,GAME_ID,HOMEDESCRIPTION,PCTIMESTRING,PERIOD,PLAYER3_TEAM_ABBREVIATION,HOME_TEAM,AWAY_TEAM,JUMP_BALL_HOME_PLAYER_ID,JUMP_BALL_AWAY_PLAYER_ID,JUMP_BALL_RETRIEVED_PLAYER_ID,JUMP_BALL_RETRIEVED_TEAM_NAME
429379,21700940,Jump Ball Gasol vs. Lopez: Tip to Ball,12:00,1.0,Lakers,Lakers,Spurs,2200.0,201572.0,1628366.0,Lakers
430292,21700941,Jump Ball Nurkic vs. Adams: Tip to Aminu,12:00,1.0,Trail Blazers,Thunder,Trail Blazers,203994.0,203500.0,202329.0,Trail Blazers
430739,21700942,Jump Ball Koufos vs. Gobert: Tip to Favors,12:00,1.0,Jazz,Kings,Jazz,201585.0,203497.0,202324.0,Jazz
431172,21700943,Jump Ball Dedmon vs. Chandler: Tip to Schroder,12:00,1.0,Hawks,Hawks,Suns,203473.0,2199.0,203471.0,Hawks
431594,21700944,Jump Ball Valanciunas vs. Howard: Tip to Williams,12:00,1.0,Hornets,Hornets,Raptors,202685.0,2730.0,101107.0,Hornets
432037,21700945,Jump Ball Gortat vs. Turner: Tip to Satoransky,12:00,1.0,Wizards,Pacers,Wizards,101162.0,1626167.0,203107.0,Wizards
432520,21700946,Jump Ball Powell vs. Davis: Tip to Mirotic,12:00,1.0,Pelicans,Mavericks,Pelicans,203939.0,203076.0,202703.0,Pelicans
432967,21700947,Jump Ball Henson vs. Embiid: Tip to Antetokounmpo,12:00,1.0,Bucks,Bucks,76ers,203089.0,203954.0,203507.0,Bucks
433418,21700948,Jump Ball Jordan vs. Allen: Tip to Teodosic,12:00,1.0,Clippers,Nets,Clippers,201599.0,1628386.0,1628462.0,Clippers
433832,21700949,Jump Ball Koufos vs. Kanter: Tip to Jackson,12:00,1.0,Kings,Knicks,Kings,201585.0,202683.0,1628382.0,Kings
434281,21700950,Jump Ball Nance Jr. vs. Drummond: Tip to Griffin,12:00,1.0,Pistons,Cavaliers,Pistons,1626204.0,203083.0,201933.0,Pistons
434713,21700951,Jump Ball Turner vs. Henson: Tip to Antetokounmpo,12:00,1.0,Bucks,Pacers,Bucks,1626167.0,203089.0,203507.0,Bucks
435149,21700952,Jump Ball Whiteside vs. Chandler: Tip to Dragic,12:00,1.0,Heat,Heat,Suns,202355.0,2199.0,201609.0,Heat
435590,21700953,Jump Ball Portis vs. Baynes: Tip to Larkin,12:00,1.0,Celtics,Celtics,Bulls,1626171.0,203382.0,203499.0,Celtics
436062,21700954,Jump Ball Gasol vs. Gasol: Tip to Murray,12:00,1.0,Spurs,Grizzlies,Spurs,2200.0,201188.0,1627749.0,Spurs
436536,21700955,Jump Ball Gobert vs. Vucevic: Tip to Rubio,12:00,1.0,Jazz,Magic,Jazz,203497.0,202696.0,201937.0,Jazz
436933,21700956,Jump Ball Lopez vs. Nurkic: Tip to Kuzma,12:00,1.0,Lakers,Lakers,Trail Blazers,201572.0,203994.0,1628398.0,Lakers
437443,21700957,Jump Ball Howard vs. Embiid: Tip to Simmons,12:00,1.0,76ers,Hornets,76ers,2730.0,203954.0,1627732.0,76ers
437871,21700958,Jump Ball Valanciunas vs. Dedmon: Tip to Schroder,12:00,1.0,Hawks,Hawks,Raptors,202685.0,203473.0,203471.0,Hawks
438336,21700959,Jump Ball Gortat vs. Whiteside: Tip to Satoransky,12:00,1.0,Wizards,Heat,Wizards,101162.0,202355.0,203107.0,Wizards
438779,21700960,Jump Ball Adams vs. Capela: Tip to Anthony,12:00,1.0,Thunder,Rockets,Thunder,203500.0,203991.0,2546.0,Thunder
439248,21700961,Jump Ball Powell vs. Jokic: Tip to Murray,12:00,1.0,Nuggets,Mavericks,Nuggets,203939.0,203999.0,1627750.0,Nuggets
439661,21700962,Jump Ball Nurkic vs. Kanter: Tip to Aminu,12:00,1.0,Trail Blazers,Knicks,Trail Blazers,203994.0,202683.0,202329.0,Trail Blazers
440097,21700963,Jump Ball McGee vs. Allen: Tip to Green,12:00,1.0,Warriors,Nets,Warriors,201580.0,1628386.0,203110.0,Warriors
440576,21700964,Jump Ball Jordan vs. Davis: Tip to Okafor,12:00,1.0,Pelicans,Clippers,Pelicans,201599.0,203076.0,2731.0,Pelicans
441053,21700965,Jump Ball Turner vs. Gobert: Tip to Favors,12:00,1.0,Jazz,Pacers,Jazz,1626167.0,203497.0,202324.0,Jazz
